nCount_RNA	group	1_-9_-9_0.5_0.5_0.5_x	1_-9_-9_0.5_0.5_0.5_y	1_-9_-9_0.5_0.5_0.5_x_expression	1_-9_-9_0.5_0.5_0.5_y_expression	1_-9_-9_0.5_0.5_-0.5_x	1_-9_-9_0.5_0.5_-0.5_y	1_-9_-9_0.5_0.5_-0.5_x_expression	1_-9_-9_0.5_0.5_-0.5_y_expression	1_-9_-9_0.5_0.5_0_x	1_-9_-9_0.5_0.5_0_y	1_-9_-9_0.5_0.5_0_x_expression	1_-9_-9_0.5_0.5_0_y_expression
15044	group1	4	4	-8.368939273571097	-8.28462407006584	0	3	-9.758089599931147	-9.258050053325555	2	2	-9.008402139460417	-8.192159119711778
13940	group3	2	2	-9.107783835378008	-8.494648535219898	3	4	-8.917573580768895	-8.649222889730174	3	0	-9.331350906150433	-8.47691911413564
15185	group3	3	1	-8.738803831177174	-10.09444654989456	3	1	-9.100064837495504	-9.255042258158275	2	0	-9.321931767770005	-9.480317096553712
10749	group2	2	1	-8.613690874570658	-9.422424624332502	3	2	-8.755359390562425	-8.26533324562984	0	0	-9.355149713687812	-9.595092930921124
15230	group3	1	1	-9.522513815458835	-9.438460880894922	2	1	-9.368880266517278	-9.19145856506535	4	5	-8.926824819966773	-8.484369601960667
15283	group3	3	2	-8.971185344383091	-9.50374770878474	1	1	-10.095688707722799	-8.843585032471383	0	3	-8.9178425607326	-8.687837443907561
15319	group2	3	2	-10.296751859363475	-9.286715175788254	0	1	-9.363382756302629	-8.927594568277637	3	2	-8.183912902212434	-8.864986776410575
12918	group3	0	5	-8.632144394402408	-8.44573683346925	2	0	-9.615329532978311	-8.809407650933199	2	2	-8.902418819518452	-9.137530733980137
17270	group3	4	4	-8.70255901207699	-8.714343980507357	0	3	-9.49817464270128	-8.35168881208849	2	2	-9.804121142505641	-8.620130534065957
17405	group3	3	8	-8.91874949065642	-7.98517673336611	2	0	-8.745709329494193	-10.241197184608199	1	6	-9.87823022381299	-8.673661781808086
18933	group1	6	4	-8.50631200753814	-8.654353915036888	2	2	-8.539573720902291	-8.813320464892412	3	2	-9.007160167866978	-8.436609274594783
11308	group2	0	3	-9.055258309348964	-9.37903864855703	0	0	-9.03822544315625	-8.928214205591848	1	2	-9.03388513025523	-9.411600078978834
13712	group1	6	1	-8.755464716598484	-9.037284639811965	1	1	-8.71337560111483	-8.917674313921166	1	0	-8.821044866623707	-9.280118067854064
14437	group1	1	1	-8.649574139176686	-9.234845456726838	1	4	-9.093300827322622	-8.766526235856242	1	0	-9.090478412330906	-8.979064606569
15933	group1	0	2	-8.758622368808814	-8.862068831164935	4	2	-8.276639131458113	-9.129434214363396	3	1	-9.067274855872835	-9.094401137486908
16375	group2	2	4	-8.869664890124527	-8.84131991267763	0	4	-9.91556951246683	-8.735107247645663	1	2	-9.416222494143526	-9.094566892046405
12619	group2	2	3	-9.061385868175586	-8.684780163955894	0	5	-9.815949978426612	-7.822796726696639	0	0	-10.06917030356051	-9.078666047612614
16803	group3	2	1	-8.82588965986095	-8.894214458008891	2	0	-9.264776181503137	-9.687401771568629	0	6	-9.599027992965961	-8.439868154826488
24295	group3	4	2	-8.580512527504107	-8.843769947561725	4	2	-9.145044998849691	-8.576199314450646	3	1	-8.365036626339373	-9.975512890260628
14750	group3	2	3	-8.582154790343415	-8.322762329904432	4	1	-9.189722171159925	-9.705554462332286	3	1	-8.927541604817055	-9.063181961083378
15864	group3	4	0	-8.31881108666867	-8.691739285762834	2	2	-9.633992457419858	-8.660167019126987	2	1	-9.523357815040434	-8.7341734286755
17634	group3	3	4	-9.256200838893834	-9.05491415592157	6	4	-8.084317121738744	-8.492860341006494	1	1	-9.230844772327373	-9.883799547843303
11721	group2	4	3	-8.321928777978162	-9.331561683222562	1	5	-9.68300480767947	-7.840126826573978	1	2	-9.133338326028484	-9.074126559150047
11727	group3	2	3	-9.24697845943645	-9.117196729990422	2	1	-8.640431593462736	-9.034837769548048	1	0	-8.946784490879264	-9.615616499366382
13794	group3	1	1	-8.581001514485374	-8.195840473088126	4	0	-7.985461432056767	-9.96127221715447	2	3	-8.692159536539206	-8.632271455900554
14805	group3	1	1	-8.414867852079901	-8.977961910156552	3	1	-8.992390318774502	-9.650412253057826	3	1	-9.572913638427455	-9.329427784491589
15741	group3	0	4	-8.996835005958893	-9.086070221658499	3	0	-8.18334016290451	-9.55408903815793	2	2	-9.040168656914679	-9.282962663506183
14470	group3	5	2	-8.686301751556279	-9.489175780718497	0	2	-8.998737279928385	-8.92140088807154	8	3	-8.128122695075158	-8.895813941920876
18280	group3	2	1	-9.63405400546162	-9.935383312733483	1	2	-9.576280473862306	-8.846761410470377	1	3	-9.5052910181771	-9.394054463812392
17811	group1	1	1	-8.48801850997625	-8.178597415692675	2	0	-8.909067583183953	-9.979115109275169	1	8	-9.02873512912786	-7.852110595870696
20191	group1	0	1	-8.927579926425597	-8.765150683539146	3	1	-8.664816573720866	-8.955105322002892	2	4	-9.089132160911534	-8.936261790380097
12867	group2	0	0	-8.838010145749696	-8.867880325989656	2	0	-8.775015668006025	-8.904420236818108	0	4	-8.742977310920912	-9.020062968131521
18426	group3	1	0	-8.919759542123275	-9.293085984114725	1	1	-8.605869073360068	-9.62869159257579	6	3	-7.859669563716646	-9.26576247351258
17754	group3	0	2	-9.176427841514494	-9.411377891054267	2	1	-8.980434140675628	-9.643754764442217	5	1	-8.627898437427106	-8.919781015508214
16585	group3	4	3	-8.642672525357442	-8.60415631444619	1	7	-9.592140467399478	-7.981789146466622	3	0	-8.689401813391791	-9.588321479209869
15041	group2	2	3	-9.135438691048314	-9.249978361857634	5	0	-8.861634986602933	-9.521373617491951	4	0	-8.115943652446404	-9.06076375358173
20789	group2	2	3	-8.781464368138336	-8.47157158498402	0	2	-9.335746511486226	-9.385280439898061	5	2	-8.982918368966242	-9.467488130934376
16188	group3	3	1	-7.980039239495367	-8.495471307513133	1	3	-9.512278392448469	-9.134840995133173	0	0	-9.364847634091625	-8.717880283415985
14601	group3	1	4	-8.676849064040184	-9.357378763192719	1	3	-9.095803472713168	-9.416607839350814	2	3	-8.50675005694466	-8.623372654623132
19490	group3	5	1	-8.9984060924954	-9.025837651504634	3	2	-9.125008890704807	-9.540569699577686	3	5	-8.395514875155715	-8.642755543905201
17782	group3	1	4	-9.160468156318196	-9.617863332224841	5	2	-8.560483303913443	-9.922587134949987	3	5	-8.985769083321575	-8.581737005277743
16983	group3	6	3	-8.812269946241216	-8.645679103890716	2	3	-8.779269451642627	-9.368175263208688	1	1	-8.70319837979601	-9.050287633270726
18822	group2	1	10	-8.710854324461687	-7.160833175004394	6	6	-8.648146761478051	-8.588405183598752	5	3	-8.636963640729917	-8.357151302735465
24053	group2	4	5	-8.515016596342388	-8.879934122705166	3	5	-9.414940160190122	-8.711509440653089	5	5	-8.8827143380329	-9.178102548715412
17966	group2	2	2	-9.362921189811217	-9.38283711052906	2	3	-9.486556175612748	-8.857892456657677	2	3	-8.640644313519338	-8.049639131083708
16491	group2	5	5	-8.38621665101397	-8.072752960967666	2	2	-9.489845928376383	-8.235415590403163	1	2	-9.105281021581218	-9.04615481105799
18001	group2	0	1	-9.257902898669727	-9.482876035407697	4	3	-8.224057965493703	-9.398249272769457	2	4	-9.068198766017312	-8.388491295918506
12850	group2	2	4	-8.999559617317	-8.756567318687305	0	1	-10.02477717701371	-9.318020467812504	0	0	-9.918599128456577	-8.81707731462627
21830	group3	5	1	-8.716083749609986	-8.49688946750653	4	5	-8.794521012492396	-9.442390247316835	1	3	-8.403868042119566	-9.406691585450783
12790	group1	2	1	-8.917565632546687	-9.255031940434646	4	2	-8.43172407229389	-10.10186467386242	7	2	-8.255511295918764	-8.732345495764857
23020	group1	6	9	-8.340800748621241	-8.453603664001783	2	0	-8.462574907227571	-9.283877190089555	0	5	-9.27451795862752	-8.89793009031114
16249	group3	5	1	-8.871283599074218	-8.370578486234136	3	7	-8.473560915253564	-8.213352170437139	1	0	-9.767246060633102	-9.282785518092737
23298	group3	1	2	-9.257911925357261	-8.866869664077313	8	5	-8.540972922033948	-8.882411581045487	9	1	-8.086548091225344	-9.446902024119153
9690	group3	0	2	-9.12401828722872	-8.992567728686206	4	0	-8.96641008059653	-8.898127029918097	4	1	-8.077714134044415	-9.040786794095137
16601	group3	3	4	-8.827963379914427	-8.493939666628355	1	1	-8.975590504107743	-9.979859384863483	2	2	-8.502668558011779	-8.978051488675263
30647	group2	2	1	-9.69537513294068	-9.850218910699452	10	5	-8.477272931058742	-9.141642783084603	0	1	-10.12074077181183	-9.286325655492249
17907	group3	1	2	-8.703861924594024	-8.7827802756892	0	4	-9.534377171916994	-8.163627302650365	1	3	-8.905073201709307	-9.575474854479047
18100	group2	4	7	-8.61622969936704	-8.966969348693809	2	3	-9.425453676566107	-8.993929750421072	3	5	-9.673705366636296	-8.816907073138537
8176	group2	3	0	-8.987110219896465	-9.13256898642151	0	1	-9.328417143357642	-7.999679696443931	1	1	-9.324707499888733	-9.847913610490322
18053	group3	3	0	-9.623100953289958	-9.623000131812397	1	5	-8.781735457777193	-9.241449876819743	1	7	-9.342057586803222	-8.569631213320136
17073	group3	0	3	-9.378263467609386	-8.902252533609486	9	3	-8.201895144049603	-9.06450141325846	3	1	-9.236873035041217	-8.532613714274069
18055	group2	0	6	-9.228953030719344	-8.510584760674876	1	1	-9.199722683946861	-8.847809650633325	8	2	-8.23636361867508	-8.98374229975224
13144	group3	3	1	-8.523953444093564	-8.928117295036628	2	2	-9.066037295990933	-8.713651558824806	2	1	-9.56484167173269	-9.650782547819903
17252	group3	6	3	-8.81272238056186	-8.870081076545429	2	1	-9.132207997075525	-9.488574595795948	1	2	-9.013126927093582	-8.559472161495881
16118	group1	5	0	-8.384437723932157	-8.40198511599658	1	0	-8.878713577629014	-9.990469678926738	3	1	-8.86549233584332	-8.726371404905887
11321	group2	0	5	-8.625991726241157	-7.929922525968407	2	2	-8.645092957002777	-8.24563612368022	2	2	-9.221670890452664	-8.849788620426033
18334	group2	3	2	-8.804437860051928	-9.125416722399915	3	1	-8.229709548022061	-9.701146722565495	0	3	-9.235654382938762	-9.162804951773541
17447	group3	4	4	-8.510570438618288	-8.702785675722385	3	1	-9.424117686737553	-9.068195151893196	1	1	-9.646123236659632	-9.786106498612337
14863	group2	4	0	-8.64227601523542	-9.164531498041102	0	1	-9.36275319361928	-9.18571525583991	2	2	-9.240978345919473	-9.553799670263894
23214	group3	2	2	-8.554923289971184	-8.648510792501952	1	5	-9.668351628978085	-8.628772899177699	2	7	-9.479372860059911	-8.664476268517307
13227	group3	0	5	-9.009297298185034	-8.539690746345872	1	1	-8.872483527110235	-8.785395680392494	3	8	-9.053540460736684	-7.542937055988727
13341	group3	2	2	-9.496717626055137	-9.488707024255193	2	0	-9.261690459330687	-9.633924952089835	4	1	-8.53682896228839	-9.316593807589774
17436	group2	2	2	-8.87127753690405	-9.53887172371661	5	2	-8.57921073481723	-9.039291631359564	3	3	-8.610996328952549	-8.821598056030007
12040	group3	3	0	-9.26836409721705	-9.283655831973682	1	3	-8.905948989676256	-8.979156418341764	2	3	-9.342840539758667	-8.44870251645753
15344	group2	2	4	-9.609956569909839	-8.809778504113009	2	1	-8.496366566758965	-9.432021977833264	0	0	-9.38766430393213	-10.529190626180803
19739	group3	8	9	-8.07759666505686	-7.947122575530145	0	2	-9.306193550610816	-8.675582439143874	1	2	-8.602967620430068	-9.308629559308887
14636	group2	2	3	-8.67211665760756	-8.376018311905316	1	2	-9.878142947569424	-8.225753841560845	2	2	-8.25698125382273	-9.32483610335845
27040	group3	6	2	-8.307468708276744	-8.55516849177874	4	1	-8.953496931133996	-9.855332690039058	1	7	-9.59067712339268	-8.225769167029023
16533	group3	0	0	-9.241163637955399	-8.934408944737713	1	4	-9.513587744490222	-8.515921377408025	2	5	-9.537749162567676	-8.898303154248723
13063	group2	1	2	-8.834179055962244	-9.23059452545615	0	3	-9.32362785049823	-8.447537690115727	1	1	-8.275136402101634	-8.942751328294555
34147	group3	3	9	-8.981439241635004	-8.539187796010314	2	11	-9.387155298774543	-7.979791019844891	2	2	-9.040292457658893	-8.948788281380713
15072	group3	1	1	-8.57666499734194	-9.418572195762467	2	1	-8.768042853695208	-9.095014695847695	3	0	-8.580473173880584	-9.403406079839899
13408	group1	3	1	-9.469378788721935	-9.261254548865198	0	3	-9.778998645119339	-8.839038926908335	1	3	-8.694679500352116	-8.711462291530264
13194	group1	3	0	-9.294043158530041	-9.462356891718382	1	6	-9.325258050747571	-8.068745278096316	9	0	-7.833643987308729	-9.168262764964256
15054	group2	1	1	-9.09333606163314	-9.623868521633979	2	0	-9.475852424061477	-8.624613656397022	1	2	-9.457414929600207	-8.632156488496669
17439	group3	2	0	-9.124222080773892	-9.369412235587921	3	1	-9.410140718197162	-9.14847890225394	3	0	-9.19857862483711	-8.85544191680831
17050	group3	1	2	-9.543413882877195	-9.040591824668999	0	4	-9.171939773758277	-9.121749986961435	3	3	-8.933711738734873	-8.415803019337197
10343	group2	0	1	-8.668499545838035	-8.694114285587407	1	1	-9.161139862219667	-9.086173269180822	0	0	-9.328418742585031	-9.046139764429082
13626	group3	1	4	-9.31428405251307	-8.719451643592757	4	5	-8.828057481418897	-8.582276430413614	1	0	-10.276056324606465	-9.445056948139715
16654	group3	2	2	-9.002861292992792	-9.612500064998022	7	2	-8.201577468045487	-9.335727094192558	4	1	-8.231830594230722	-9.34075295732218
18619	group3	3	1	-9.384422491722397	-9.011877887032826	3	0	-8.677778195242128	-10.402738480021448	2	4	-9.350738408946228	-9.608953590992499
19135	group3	1	1	-9.49984765510175	-10.339422203478845	1	1	-8.946629501501787	-9.05000580767866	2	3	-8.71008285515704	-8.911004918314118
