nCount_RNA	group	0.5_0_0_0.5_x	0.5_0_0_0.5_y	0.5_0_0_0.5_x_expression	0.5_0_0_0.5_y_expression	0.5_0_0_0.5_group	0_0.5_0.5_0_x	0_0.5_0.5_0_y	0_0.5_0.5_0_x_expression	0_0.5_0.5_0_y_expression	0_0.5_0.5_0_group
18929	group3	11	7	-7.493995962938777	-7.699774623536603	3.0	11	0	-7.520909785637356	-8.724556231110755	2.0
8625	group3	0	2	-9.263432367972102	-9.294897496025559	0.0	1	1	-7.449113829476193	-8.885847160067927	2.0
16419	group3	11	5	-7.548561289752107	-7.584021484522794	3.0	10	2	-7.697518812578852	-8.845089753828628	2.0
17991	group2	4	11	-7.565443193714343	-7.361833078861539	3.0	3	10	-8.848410187740974	-7.615807880462012	1.0
15892	group3	2	3	-9.046930251115388	-8.983670178340454	0.0	0	15	-9.078406924557495	-7.376607110642076	1.0
15400	group3	8	9	-7.685577277869956	-7.277120279132243	3.0	0	5	-9.072824723601764	-7.4725643843850404	1.0
25607	group1	17	14	-7.382115907889021	-7.681341546922604	3.0	13	6	-7.558024913995835	-9.10657183750383	2.0
25613	group3	15	12	-7.632128115613377	-7.422618298692867	3.0	13	1	-7.435743809998108	-8.937366899631833	2.0
14739	group3	2	2	-8.923028864399612	-8.952032119478211	0.0	2	14	-9.435972423747238	-7.446583486460359	1.0
9456	group3	4	4	-7.642205583242421	-7.617672946226235	3.0	3	2	-7.360063141635154	-8.901476677209466	2.0
28030	group3	4	3	-9.296633714630886	-9.362684447738676	0.0	2	5	-8.833625906432435	-7.636392265419725	1.0
15022	group3	1	5	-9.101646589808759	-8.33299193492665	0.0	2	12	-8.96283572841389	-7.483783574586163	1.0
12584	group3	13	13	-7.524677987930705	-7.60282237856593	3.0	8	2	-7.480598026950591	-9.149467429943847	2.0
16181	group3	0	2	-9.07085520925578	-8.881711435585682	0.0	5	14	-8.917662022872012	-7.3218555597796104	1.0
12289	group3	0	1	-9.19129650374529	-8.492292685428554	0.0	2	8	-9.457957359560952	-7.629576586294233	1.0
16863	group3	1	0	-9.356283685915585	-9.333843646156131	0.0	11	0	-7.580740071248826	-9.627533032062141	2.0
10223	group3	2	2	-9.426365168191237	-8.509275737459541	0.0	7	1	-7.326897104197991	-9.02477632218646	2.0
21506	group3	10	7	-7.321662197391049	-7.604625501990679	3.0	6	5	-8.504790092644058	-7.737327393678949	1.0
15978	group2	0	0	-9.046048558703085	-9.408289677550949	0.0	1	8	-8.953699339363093	-7.709204675507869	1.0
19515	group3	6	4	-9.080717088064803	-9.19536774999894	0.0	2	12	-9.116141982985916	-7.468071580319934	1.0
26048	group3	6	6	-8.330589963334019	-8.837264607479002	0.0	8	19	-8.391278333771666	-7.213803920314668	1.0
17202	group3	1	1	-9.730430272956314	-8.985598125842793	0.0	7	11	-7.526577673311819	-8.263445204309997	2.0
18067	group3	14	10	-7.47159404793277	-7.550700951499487	3.0	1	13	-9.013615808958194	-7.365157049590869	1.0
14545	group1	2	2	-8.966182048555005	-9.707422089903467	0.0	0	9	-9.435203609743972	-7.299285334403061	1.0
15016	group3	6	18	-7.622854216791176	-7.380427220770397	3.0	11	1	-7.496248282357662	-9.801633001251583	2.0
16286	group3	17	14	-7.585559184013446	-7.414509447494812	3.0	16	1	-7.478168449436388	-9.273983784176023	2.0
16776	group3	2	3	-8.88886663900103	-9.33167521314582	0.0	6	2	-7.507551447583896	-9.068194307173373	2.0
11206	group3	4	3	-8.592109841198221	-8.74864909382396	0.0	4	1	-7.564988215198431	-8.919205386911694	2.0
19486	group3	11	10	-7.42497060406046	-7.4929026908137155	3.0	14	6	-7.443057789853806	-8.660861622966994	2.0
13954	group2	4	1	-8.849442837965606	-8.373638739515064	0.0	2	8	-9.121568356628305	-7.488102094099771	1.0
12328	group3	0	0	-9.253264111148958	-8.725547712659795	0.0	9	1	-7.639750940654817	-8.687280765760812	2.0
17842	group1	12	11	-7.5192616035824305	-7.54359730541783	3.0	0	9	-9.686494530591517	-7.332240434748771	1.0
24731	group3	14	11	-7.592260362038307	-7.499605338847907	3.0	3	9	-8.685181035197024	-7.532549758555894	1.0
26956	group3	10	11	-7.527603686673353	-7.512711653046891	3.0	11	2	-7.560109126868571	-8.608856867075838	2.0
19033	group3	10	14	-7.410593248031356	-7.4048336016645635	3.0	6	3	-7.5490273150929	-8.583179780291449	2.0
23601	group2	18	11	-7.262866706024844	-7.575788595575066	3.0	8	2	-7.612121802860336	-9.19693577325759	2.0
26916	group3	10	11	-7.6492947994747125	-7.500743389018291	3.0	1	14	-9.124942295556005	-7.426415497816843	1.0
15122	group2	1	2	-8.999997071558521	-9.082861006279511	0.0	7	1	-7.489858781518026	-9.01687718876323	2.0
13099	group3	2	3	-8.837294228355292	-8.761046430382521	0.0	1	12	-9.22276605756137	-7.532078062640828	1.0
16493	group2	7	12	-7.575170029342604	-7.512128113417109	3.0	4	9	-8.678258960527351	-7.565917081692658	1.0
16182	group3	3	0	-9.094052459098023	-9.343139571553868	0.0	8	3	-7.482757077839047	-9.149970785881983	2.0
16383	group3	3	4	-8.768696478579177	-8.847024065108934	0.0	1	7	-9.495322676821752	-7.484075004508806	1.0
31784	group3	16	21	-7.596451931349189	-7.506276978102223	3.0	4	21	-8.839371193102172	-7.557137041791281	1.0
21091	group3	3	1	-9.56042719636913	-9.404238088527439	0.0	15	3	-7.490934067039721	-8.869074185711762	2.0
19271	group3	8	12	-7.7902899807814405	-7.470093880972211	3.0	2	8	-9.619324440936353	-7.342983230296383	1.0
13279	group3	9	13	-7.610855042603495	-7.476280789074901	3.0	6	0	-7.518677411569983	-9.112743914067282	2.0
15166	group2	7	4	-7.622865091301141	-7.33981817109101	3.0	2	9	-9.198647801900043	-7.476598406492029	1.0
23559	group2	17	11	-7.365122644925104	-7.510425072753316	3.0	1	8	-9.36126595367992	-7.451974801409718	1.0
21183	group3	11	16	-7.515829707936108	-7.312616124786133	3.0	11	1	-7.4338979932432405	-9.276918474855384	2.0
30655	group3	6	4	-8.48064460020586	-9.002808030188973	0.0	3	17	-8.561407311835943	-7.540515880450264	1.0
19502	group3	4	1	-8.559696596827976	-9.039211391576448	0.0	10	6	-7.29575640531951	-8.42482492735329	2.0
23084	group1	11	15	-7.69479425350023	-7.536702362539995	3.0	4	10	-8.4701517366212	-7.349223328349382	1.0
14644	group3	2	0	-9.100703201557154	-8.759374015911192	0.0	5	1	-7.3792687556946515	-9.045090852541085	2.0
17364	group3	14	8	-7.422398945727579	-7.557327770073385	3.0	9	3	-7.876190372114476	-9.191618926769245	2.0
16032	group3	7	10	-7.5427524911336095	-7.4879114173496575	3.0	9	6	-7.363255979964733	-8.752568900849358	2.0
14521	group3	10	11	-7.709176924434415	-7.457347383318078	3.0	10	2	-7.724375923032244	-9.363251623186324	2.0
9966	group3	0	0	-8.816597766127884	-9.090889190138542	0.0	2	10	-9.09882412557392	-7.587836340240145	1.0
17689	group2	3	10	-7.571597957002104	-7.467646511226396	3.0	11	2	-7.713493564337252	-9.151021613078065	2.0
15271	group3	3	0	-8.985608822439543	-8.639399223056389	0.0	4	8	-8.747780027356939	-7.4207722138528425	1.0
16935	group2	8	14	-7.570631325562589	-7.344964393993444	3.0	2	12	-9.053995920375705	-7.542104626972785	1.0
15044	group1	1	2	-9.248740586704434	-9.059023583543501	0.0	1	7	-8.829581433801605	-7.612732003171506	1.0
13940	group3	1	3	-8.9736869344775	-8.749041389360816	0.0	1	13	-9.225851158926439	-7.558720466026158	1.0
15185	group3	13	5	-7.604865875731476	-7.363278842540966	3.0	11	3	-7.484668452324899	-9.21057470798788	2.0
10749	group2	4	1	-7.496434342156678	-7.440667152225469	3.0	4	0	-7.662122131176327	-9.59228130753706	2.0
15230	group3	2	4	-8.699890234034791	-8.764019315173753	0.0	11	1	-7.313523936128651	-9.796719649508912	2.0
15283	group3	9	10	-7.769790932109193	-7.540360351096386	3.0	2	7	-9.512501760950117	-7.5965509370723945	1.0
15319	group2	2	0	-9.114327755254605	-9.552262760039566	0.0	16	4	-7.41636410982869	-9.01730467463346	2.0
12918	group3	8	8	-7.532131423781527	-7.512073721556853	3.0	2	7	-9.540929597543922	-7.525523716645261	1.0
17270	group3	11	17	-7.378417986973621	-7.330392237849386	3.0	1	10	-8.885063444472747	-7.540696829527612	1.0
17405	group3	3	3	-9.112700826923698	-8.988735754046827	0.0	11	1	-7.597375338308444	-9.196855975833564	2.0
18933	group1	18	9	-7.397664259085502	-7.47344950525788	3.0	5	8	-8.32572148415769	-7.462539607642413	1.0
11308	group2	5	5	-7.367017500007801	-7.657292776005569	3.0	5	3	-7.697190111465498	-9.198512013826013	2.0
13712	group1	3	1	-9.022341228868195	-8.989221584575242	0.0	1	7	-8.919176510847635	-7.432181679641205	1.0
14437	group1	8	10	-7.365673121361733	-7.582747827845782	3.0	6	5	-7.460320935811448	-8.769195468412684	2.0
15933	group1	7	8	-7.3214948241608955	-7.569301587987769	3.0	10	1	-7.353005247881189	-9.26970146767043	2.0
16375	group2	8	11	-7.634196082128044	-7.361735427554919	3.0	2	5	-9.157381385820255	-7.517690430927242	1.0
12619	group2	1	0	-8.869951100977028	-9.233621977367081	0.0	6	4	-7.48845941176524	-8.491908623559326	2.0
16803	group3	6	2	-8.61648623091844	-8.946176785692845	0.0	12	1	-7.274782149566322	-9.509200571702454	2.0
24295	group3	15	13	-7.398499991153138	-7.512859678178898	3.0	18	1	-7.435946329870592	-9.83801106151056	2.0
14750	group3	6	14	-7.723306743473054	-7.228787187153568	3.0	7	1	-7.404196795077832	-9.067845195196998	2.0
15864	group3	3	3	-9.190403791553809	-9.43666029815867	0.0	9	2	-7.536728939965674	-8.880771347815175	2.0
17634	group3	9	5	-7.572346212480866	-7.421205663568749	3.0	2	10	-8.426394341300417	-7.503108640417942	1.0
11721	group2	3	10	-7.729736645208698	-7.485023180960376	3.0	1	9	-8.928809446008842	-7.465308695543528	1.0
11727	group3	6	6	-7.37422229853045	-7.552284470283419	3.0	10	6	-7.454643133525018	-8.502088914911079	2.0
13794	group3	14	9	-7.339951461666901	-7.383338482838499	3.0	0	6	-8.969569804436516	-7.564785488559924	1.0
14805	group3	2	3	-8.847481127194971	-8.833144433114873	0.0	13	1	-7.5271773655969865	-9.148124044171755	2.0
15741	group3	4	0	-8.935165198120895	-8.84706634363849	0.0	6	4	-7.726289345119568	-9.112829305306354	2.0
14470	group3	0	2	-9.55758371583705	-8.909866337115531	0.0	2	9	-8.924226679333405	-7.415020797608808	1.0
18280	group3	1	5	-9.125794944645806	-8.257024751565044	0.0	1	4	-9.039713159270054	-7.3989330313940815	1.0
17811	group1	1	6	-9.039698669531022	-8.894296981035575	0.0	11	1	-7.203298683039755	-9.0509219308916	2.0
20191	group1	6	11	-7.52368976149899	-7.528885337071689	3.0	3	13	-9.092842902176663	-7.475570304320702	1.0
12867	group2	9	8	-7.287042596231288	-7.5988948144100545	3.0	0	9	-9.430489039810666	-7.212635560213855	1.0
18426	group3	9	8	-7.580967301237406	-7.431824073872294	3.0	3	9	-8.849512763045688	-7.3899049274987485	1.0
17754	group3	14	8	-7.481925976156197	-7.49846900199526	3.0	7	5	-7.517622790461294	-8.274868102957722	2.0
16585	group3	2	0	-9.011871071908082	-8.9797586998348	0.0	3	9	-9.028432635131969	-7.5134726965433	1.0
15041	group2	1	2	-8.902198969983905	-9.219679409930771	0.0	2	7	-8.642074223296797	-7.543461653657069	1.0
20789	group2	17	10	-7.481646515668502	-7.357312712901055	3.0	4	11	-9.110645540534353	-7.5278618707132905	1.0
16188	group3	5	12	-7.627703432872383	-7.508831198249861	3.0	0	12	-9.57191096355914	-7.560207467951384	1.0
14601	group3	6	5	-7.447446406646391	-7.843162555994707	3.0	3	11	-9.029883189568459	-7.3645457816268145	1.0
19490	group3	1	3	-9.612096914618615	-8.910857636915996	0.0	4	7	-8.490138810975996	-7.5837372036566055	1.0
17782	group3	16	12	-7.267322584751941	-7.405276031498403	3.0	9	0	-7.486122096276082	-9.542652147056943	2.0
16983	group3	2	2	-8.986123343057491	-9.288533040330673	0.0	2	5	-9.115026936879454	-7.509734662058033	1.0
18822	group2	8	7	-7.6229917049529705	-7.725328906073671	3.0	1	12	-9.266957058306225	-7.563515529719939	1.0
24053	group2	4	4	-9.203302673198412	-8.618454414802228	0.0	15	6	-7.340348325323829	-8.898074654284965	2.0
17966	group2	15	9	-7.392079386499102	-7.3153492625509156	3.0	1	17	-9.358077576677456	-7.374458057183008	1.0
16491	group2	9	11	-7.518540822227915	-7.281436231369912	3.0	12	1	-7.486848634517576	-9.006818928123858	2.0
18001	group2	9	7	-7.287644723604751	-7.551243766308578	3.0	3	8	-9.315005043322612	-7.670226723506808	1.0
12850	group2	0	1	-9.431831708021585	-9.194293359892345	0.0	7	3	-7.474142511365174	-9.287999123655785	2.0
21830	group3	3	2	-8.842711070996895	-8.95245913890852	0.0	15	4	-7.448511589469952	-9.114934326224525	2.0
12790	group1	0	4	-8.77941612718044	-8.402975095100242	0.0	0	10	-9.090058121040048	-7.543499901978677	1.0
23020	group1	2	1	-9.195975080337611	-8.650743731802406	0.0	1	20	-9.353994628037462	-7.514628682939427	1.0
16249	group3	3	4	-8.747263115528598	-8.927201952429852	0.0	2	0	-7.6381518739084155	-8.96714100155057	2.0
23298	group3	2	2	-9.114454944529525	-8.586023970885062	0.0	15	2	-7.317029582791592	-9.256548851444983	2.0
9690	group3	8	10	-7.441945398287936	-7.6397642292138475	3.0	3	3	-7.456735698179357	-8.999933518000747	2.0
16601	group3	13	4	-7.418854032016433	-7.667648882960191	3.0	12	5	-7.573307162698122	-8.800843481640555	2.0
30647	group2	5	2	-8.980053297256157	-9.016367611635872	0.0	20	9	-7.388370475991898	-8.77515571562663	2.0
17907	group3	1	3	-9.329621684098816	-8.76142981521209	0.0	4	6	-8.550708265320726	-7.461677229469053	1.0
18100	group2	15	9	-7.422820406328514	-7.39528144544978	3.0	16	2	-7.457218438170939	-9.139745511687272	2.0
8176	group2	6	5	-7.4701095951929	-7.524254181314456	3.0	1	3	-9.084790570822614	-7.444691651799394	1.0
18053	group3	5	2	-8.524653883081298	-8.994273011427602	0.0	4	13	-8.96740548855158	-7.525894787079663	1.0
17073	group3	1	1	-9.797834836915046	-9.27163144102034	0.0	2	8	-8.568528143779872	-7.381311305100067	1.0
18055	group2	2	13	-7.667491620316881	-7.571803192010656	3.0	4	12	-8.549004443874926	-7.462229546542592	1.0
13144	group3	3	3	-9.027435786867198	-8.870918600622462	0.0	10	1	-7.614259271435473	-9.083231781156593	2.0
17252	group3	14	9	-7.333000451070623	-7.5292103641495505	3.0	7	3	-7.481768665649413	-8.989350139836729	2.0
16118	group1	7	16	-7.664480281506242	-7.2493782374882745	3.0	2	8	-9.063819890105268	-7.203881873227847	1.0
11321	group2	10	9	-7.471372416911292	-7.45836968074947	3.0	3	3	-8.90040773535345	-7.680998578459586	1.0
18334	group2	3	2	-8.791464118485903	-8.719604981085935	0.0	5	12	-8.779492024686792	-7.425527920438967	1.0
17447	group3	1	2	-9.610039963836783	-9.103830561667573	0.0	6	9	-9.057856638104933	-7.6254159045017325	1.0
14863	group2	13	9	-7.426310749469509	-7.410512765996105	3.0	6	2	-7.499923813683441	-8.745533650646426	2.0
23214	group3	11	16	-7.600549472724275	-7.406771089065239	3.0	2	8	-9.533403855887553	-7.59576105812067	1.0
13227	group3	2	1	-9.056840779413715	-9.329136565064946	0.0	1	4	-8.803588288889067	-7.261789849028912	1.0
13341	group3	1	1	-9.023165599605887	-9.15845882074432	0.0	2	7	-8.73169430855384	-7.290622302199284	1.0
17436	group2	4	2	-8.752589098368906	-9.713932582196103	0.0	3	10	-8.875349215710596	-7.722742257673338	1.0
12040	group3	1	2	-8.62553612382089	-9.182305107447332	0.0	7	1	-7.459797212683338	-8.95110043283102	2.0
15344	group2	8	12	-7.482592414307577	-7.377789464017447	3.0	8	1	-7.455024073446808	-8.637412917737871	2.0
19739	group3	13	9	-7.359854125643803	-7.372637827357514	3.0	7	1	-7.414342061077069	-8.849243767845168	2.0
14636	group2	0	3	-9.121167680801381	-9.32258702709112	0.0	1	6	-9.277063397013965	-7.5267328438923595	1.0
27040	group3	14	15	-7.502892536408548	-7.5852559736395175	3.0	5	17	-9.05880819369239	-7.507901741725344	1.0
16533	group3	8	6	-7.606638890142354	-7.525822536290836	3.0	9	0	-7.644097617530242	-9.475146632796587	2.0
13063	group2	1	1	-9.41535559996076	-8.393278480022321	0.0	1	3	-9.177230945658941	-7.755805453017793	1.0
34147	group3	18	20	-7.849888530215125	-7.5912912370314825	3.0	3	17	-9.089913371198348	-7.505859661360651	1.0
15072	group3	9	7	-7.616620860308713	-7.585339587396608	3.0	4	0	-7.499834260661334	-8.693089953669347	2.0
13408	group1	8	9	-7.570929448618305	-7.363019071507839	3.0	4	3	-8.610934442181998	-7.452799053950192	1.0
13194	group1	1	1	-8.589829372821862	-9.169462589043869	0.0	7	1	-7.610575203232676	-9.195905222755268	2.0
15054	group2	1	0	-8.634634310083113	-9.462878715177801	0.0	5	2	-7.440452656068696	-8.83888646982691	2.0
17439	group3	0	3	-9.138601604446015	-8.738747466320067	0.0	2	12	-8.541126109982054	-7.473928182585835	1.0
17050	group3	8	9	-7.561970084134617	-7.56021066566334	3.0	7	5	-7.659800000260768	-9.00239311870379	2.0
10343	group2	2	3	-8.894733451773677	-9.052563158054626	0.0	1	0	-7.762868458571667	-8.722564749065919	2.0
13626	group3	8	11	-7.615199541627266	-7.509498163341977	3.0	1	7	-8.799174541977102	-7.739327252368927	1.0
16654	group3	3	1	-8.88544012976199	-8.985419097993184	0.0	0	7	-8.835376464066501	-7.367075011826082	1.0
18619	group3	1	1	-8.830117367567263	-8.943406139029445	0.0	7	3	-7.552328647775324	-8.986017500100525	2.0
19135	group3	18	6	-7.454724571906416	-7.583139161040699	3.0	1	9	-8.797011303133234	-7.470654722802241	1.0
11318	group3	2	2	-8.938737606325766	-8.937205953457614	0.0	2	9	-9.003672655981934	-7.507429443539088	1.0
10210	group3	3	3	-7.568965010459125	-7.571208332525174	3.0	1	6	-9.02269903844612	-7.590467155289724	1.0
31777	group3	23	17	-7.513134520065673	-7.405411446775238	3.0	5	21	-9.202093556212823	-7.41456491801762	1.0
17286	group3	12	11	-7.418511408020939	-7.553451598979833	3.0	3	11	-9.016760235015022	-7.38980770182247	1.0
14153	group3	2	2	-8.577991127501589	-9.112333474951884	0.0	6	6	-8.322015904012122	-7.557851176660257	1.0
12859	group2	0	1	-9.521387851315371	-8.713590420824723	0.0	9	3	-7.194589533909532	-8.95739403952694	2.0
13803	group3	8	7	-7.602652460239185	-7.5578544224048665	3.0	2	8	-8.739288201223852	-7.489249486489258	1.0
17654	group3	7	12	-7.536024728942346	-7.440773080685829	3.0	3	11	-9.102635107028059	-7.400760165280528	1.0
13655	group2	8	7	-7.241022078953169	-7.439941520700356	3.0	1	2	-9.141577995640056	-7.734541454400181	1.0
14067	group3	4	6	-7.395085713286737	-7.404909285923204	3.0	9	1	-7.361990246718225	-9.496098412642331	2.0
20871	group3	1	3	-8.687752813982781	-8.843025701246864	0.0	4	8	-9.259346997475724	-7.4859029206768035	1.0
10861	group3	0	2	-8.8858584089355	-9.148745555980936	0.0	7	2	-7.48986654398561	-8.589602368837044	2.0
17040	group2	9	7	-7.655224395830614	-7.479508265704132	3.0	8	4	-7.201650264588146	-8.992468126297595	2.0
18556	group3	10	4	-7.509568912582268	-7.710448903257245	3.0	7	3	-7.523322648313544	-9.118644675200931	2.0
16697	group3	12	5	-7.432261737804648	-7.42436442280926	3.0	13	3	-7.522345601704978	-8.614683733727277	2.0
16680	group3	8	11	-7.351983474665621	-7.440200494235969	3.0	10	4	-7.397536457137145	-8.83161688605153	2.0
9492	group3	6	7	-7.482121632638281	-7.377823486852247	3.0	2	0	-7.463114555800347	-8.92808234979945	2.0
16727	group3	13	7	-7.563669857322613	-7.601576234025393	3.0	6	1	-7.508669054259464	-8.856030265759786	2.0
22678	group3	0	1	-9.065140580623464	-9.051439382885606	0.0	5	8	-8.887688895078727	-7.728894826574928	1.0
17079	group3	1	3	-8.647940550451514	-9.283310579823095	0.0	12	3	-7.556261720089667	-8.98147411417106	2.0
28736	group3	17	19	-7.5876631972432	-7.197503083901401	3.0	5	16	-8.882536291949226	-7.610749111781874	1.0
14981	group3	6	11	-7.422592561801931	-7.647886333776393	3.0	5	2	-7.507852668698792	-9.321153692280143	2.0
13120	group3	7	7	-7.462432755117107	-7.4127656087172245	3.0	8	0	-7.373686666328338	-9.38196300793258	2.0
10332	group3	6	3	-7.561997750975778	-7.494485373107725	3.0	1	7	-9.43293649710028	-7.443629827910035	1.0
18986	group2	2	4	-9.703080957299989	-8.915740597374564	0.0	8	1	-7.657155986976748	-8.723977164361676	2.0
20837	group3	11	10	-7.522688599972286	-7.558455917461344	3.0	3	6	-8.85409944082749	-7.517324011563236	1.0
11676	group2	2	4	-8.651543552777769	-8.778525866610737	0.0	5	2	-7.580247168256219	-8.683524447224537	2.0
10346	group3	1	1	-8.884176585718922	-8.804774030693375	0.0	1	5	-9.170841681155549	-7.548016602238287	1.0
15409	group3	4	2	-9.339939982103095	-8.815577811127831	0.0	6	10	-8.571983653005349	-7.535518062352706	1.0
13551	group1	10	6	-7.5499437618156175	-7.402064116661204	3.0	8	1	-7.339035111558876	-8.837913584597223	2.0
20627	group3	2	6	-8.870072233602993	-9.037970578402277	0.0	1	13	-8.952946804888745	-7.3982149669174015	1.0
18779	group3	7	12	-7.413041081011266	-7.5337716145454	3.0	5	11	-8.48468098510193	-7.415180345429804	1.0
12472	group3	6	7	-7.582795281277664	-7.7802746185132685	3.0	9	1	-7.196237178789273	-8.907280944984281	2.0
14964	group3	1	3	-9.091225931640395	-8.526337725877845	0.0	1	9	-9.137438037865802	-7.594472271149662	1.0
13936	group3	7	1	-8.224411539580636	-9.062154503155861	0.0	1	6	-9.086395159956234	-7.464847113020164	1.0
21235	group2	4	2	-8.449400183140552	-8.990979875478368	0.0	12	3	-7.720865824790926	-8.708741639617042	2.0
5886	group3	0	1	-8.867793038275467	-9.100853951890587	0.0	1	4	-8.91005749431903	-7.556496870178262	1.0
26993	group3	11	13	-7.441630262967766	-7.64007341396522	3.0	5	16	-8.683215510250639	-7.211480927287518	1.0
13212	group3	3	3	-9.215776152428003	-8.975620868714998	0.0	1	7	-8.830235253411779	-7.588722808621041	1.0
13574	group3	9	6	-7.397817725941835	-7.445081031409642	3.0	2	7	-9.370057183118268	-7.537539450880451	1.0
20615	group2	13	13	-7.441650080867003	-7.231444126591648	3.0	0	12	-8.94512978951557	-7.541865830186099	1.0
18069	group3	9	8	-7.600108782080614	-7.677751104177121	3.0	13	7	-7.4513950592340885	-8.653582770586961	2.0
15054	group2	4	11	-7.338600905205332	-7.502033438127323	3.0	15	1	-7.30412393657641	-8.873217357403348	2.0
12804	group1	9	4	-7.5813855215209385	-7.325911974777771	3.0	4	0	-7.526728697321986	-8.700237319676432	2.0
21508	group3	2	1	-9.175024378373703	-9.072157253232113	0.0	2	15	-8.993326578437832	-7.552683148346402	1.0
14562	group2	9	10	-7.448827791067191	-7.4271755617029775	3.0	10	2	-7.5693358996031685	-8.734943930507571	2.0
15775	group2	10	9	-7.5904001752316965	-7.545074501289428	3.0	20	1	-7.350938908751173	-9.159059754211192	2.0
20790	group3	4	7	-9.097514888514535	-8.390346202333065	0.0	9	5	-7.56641653182989	-8.755759554709654	2.0
