nCount_RNA	group	gauss_1_-9_0.5	gauss_1_-9_0.5_expression	gauss_0.5_-9.5_0.5_gauss_0.5_-6_0.5	gauss_0.5_-9.5_0.5_gauss_0.5_-6_0.5_expression	gauss_0.75_-9_0.5	gauss_0.75_-9_0.5_expression	gauss_0.5_-9_0.3_gauss_0.5_-7.5_0.1	gauss_0.5_-9_0.3_gauss_0.5_-7.5_0.1_expression	gauss_0.3_-9.5_0.15_gauss_0.4_-8_0.15_gauss_0.3_-6.5_0.15	gauss_0.3_-9.5_0.15_gauss_0.4_-8_0.15_gauss_0.3_-6.5_0.15_expression
17503	group3	4	-9.061445112759325	5	-9.509565248260575	5	-8.881641866386543	4	-7.615681626091915	2	-9.553824342050186
10534	group3	1	-9.467884717129534	1	-8.912499390249854	0	-9.511892569963234	2	-8.872478281053894	15	-6.262627832440765
22958	group2	3	-9.133944039813008	1	-9.873935474646931	1	-9.356496600056024	21	-7.464900284691747	33	-6.636384860728437
16941	group1	4	-8.734822266630907	2	-9.495487374513337	0	-inf	0	-8.9003240563883	3	-9.409479259608576
19740	group2	2	-9.345830375862654	0	-9.93905394662017	0	-inf	5	-7.56068872830974	1	-9.749718279420755
11104	group1	1	-9.198376763427989	0	-9.578217085192312	0	-8.687377516918586	9	-7.3453020670984275	0	-9.605026855653493
14576	group3	2	-9.3435863500598	45	-5.724272977726788	0	-inf	9	-7.427665839125214	11	-8.049480493666904
14945	group3	2	-9.42260282074936	1	-9.371714773999352	0	-inf	1	-9.347044878275742	17	-6.588745498689543
18929	group3	3	-9.33562306541841	139	-4.853895993592522	1	-9.080256681593461	5	-8.894700854075241	2	-9.327291348576924
8625	group3	0	-9.006332299459451	0	-9.994389524384811	0	-9.384418175159615	2	-7.495386443276984	3	-8.178914691863271
16419	group3	2	-9.55865517431764	45	-5.979230303500798	4	-9.115015361138969	9	-7.598299165341853	1	-9.221400348915303
17991	group2	4	-8.882792151091454	25	-6.558962722556759	9	-8.627471866797315	5	-7.494556726113484	7	-8.030731476588137
15892	group3	1	-8.170098911445065	0	-9.669410983014599	8	-8.011944608436849	0	-9.182066184929221	7	-8.053824342050186
15400	group3	0	-8.628977919711332	40	-5.730470839709605	2	-9.622061664477968	16	-7.484010706492737	23	-6.471859516124445
25607	group1	4	-9.095917776180807	50	-6.2980798499032336	2	-9.313208455594184	3	-8.535906201295282	1	-9.726676933653255
25613	group3	0	-9.443814482042418	61	-6.009565248260576	1	-9.401883047288289	11	-7.620894815912892	37	-6.549480493666904
14739	group3	0	-9.373579146875418	70	-5.412499390249854	1	-10.209541586589335	6	-7.277663978308883	25	-6.678914691863271
9456	group3	3	-8.153772699486126	2	-9.618092015426301	0	-9.461896010847894	1	-8.782997517375643	13	-6.530731476588138
28030	group3	6	-8.974596122611986	57	-6.373935474646931	1	-9.511937880421419	5	-8.98615932983095	4	-9.403272873366083
15022	group3	0	-9.318497823284677	1	-9.818827506242151	0	-inf	17	-7.4605704785285605	8	-7.909479259608576
12584	group3	0	-8.904542257666266	0	-10.093806143192642	3	-8.438011020521266	4	-7.330764228476185	18	-6.553824342050186
16181	group3	2	-7.9498724317605785	51	-5.9954873745133375	3	-9.065957116400451	2	-9.294897496025559	2	-8.249718279420755
12289	group3	1	-8.939920523759186	17	-6.439053946620171	0	-9.811642722917624	3	-7.611281215385377	14	-6.409479259608576
16863	group3	1	-8.691398445146291	49	-6.078217085192311	1	-8.676662273864913	10	-7.336425245819847	10	-8.105026855653493
10223	group3	0	-8.849914840022086	29	-5.8717147739993525	3	-9.178135379723372	3	-7.636096559183649	15	-6.749718279420754
21506	group3	3	-9.176124923246759	2	-10.210608613652063	0	-9.87157051847673	1	-8.983670178340454	4	-7.827291348576924
15978	group2	1	-9.57125909901107	1	-9.576747597838475	2	-9.2983248208421	6	-7.56512258333298	0	-9.647091182782793
19515	group3	3	-9.174671361206439	30	-6.494389524384811	0	-9.294297189844121	0	-8.952032119478211	0	-9.628527973207413
26048	group3	3	-9.104447116687389	1	-9.634528480108006	3	-9.43694114888115	3	-9.362684447738676	1	-9.630781877488348
17202	group3	0	-8.7066884044089	2	-8.384316605556698	4	-8.985143092319491	3	-8.33299193492665	2	-9.56337618937436
18067	group3	2	-8.580508293062747	0	-10.717383788260522	0	-10.124128883788304	12	-7.445754869159667	19	-6.605026855653493
14545	group1	4	-8.534448959348222	0	-9.443636747591675	1	-9.133880932423027	2	-8.881711435585682	9	-7.721400348915303
15016	group3	3	-8.85720633737287	26	-6.169410983014598	5	-8.493408279056753	14	-7.495199375280931	36	-6.327291348576924
16286	group3	1	-8.557429417864636	32	-6.118092015426301	2	-8.573601079522925	4	-8.492292685428554	4	-8.226676933653255
16776	group3	1	-9.377198970498327	27	-6.318827506242151	6	-8.445906250032504	8	-7.735807363301156	2	-7.903272873366083
11206	group3	1	-8.373565922383357	16	-6.5938061431926425	3	-8.440304672340554	1	-9.333843646156131	28	-6.221400348915303
19486	group3	2	-8.743535089790996	19	-6.710608613652063	3	-8.25622843400373	3	-8.509275737459541	27	-6.726676933653255
13954	group2	3	-9.149046417551357	0	-9.314777731668382	2	-9.559150342200182	5	-7.6105584043819405	27	-6.403272873366083
12328	group3	0	-8.755740926731251	2	-8.820183068663702	3	-8.57708329647141	7	-7.416216364607987	26	-6.647091182782793
17842	group1	4	-9.037785856510528	44	-6.076747597838475	3	-9.930444764471057	12	-7.291212913171688	1	-9.350534025962995
24731	group3	10	-8.434185306274287	0	-9.249071396609343	0	-9.301442552003609	21	-7.408515904219931	6	-8.147091182782793
26956	group3	7	-8.2400915917889	0	-9.922106851914931	1	-9.957236021702908	3	-9.408289677550949	2	-9.393136809368515
19033	group3	3	-7.9072122967334195	45	-6.134528480108007	0	-inf	8	-7.527620335426504	7	-8.128527973207413
23601	group2	0	-9.698248167744069	0	-9.499995119264202	5	-8.475926243876872	2	-9.19536774999894	32	-6.628527973207413
26916	group3	1	-9.722056902714794	198	-4.884316605556698	4	-8.333131090278757	13	-7.420348810127507	2	-9.491128363517143
15122	group2	3	-9.252232931473225	0	-9.228823713925486	0	-9.098707339579125	7	-7.614379857184622	1	-9.554496631772288
13099	group3	4	-8.919981465276084	0	-9.656754098496705	2	-8.112677484297032	6	-7.449008021702978	7	-8.130781877488348
16493	group2	4	-8.561915539441888	0	-9.114494130965294	1	-9.337363755155856	15	-7.634746029509147	1	-9.499506673559884
16182	group3	3	-8.842182526379197	11	-7.217383788260522	3	-8.924691567317488	4	-8.837264607479002	25	-6.630781877488348
16383	group3	2	-10.011100607912002	42	-5.943636747591675	1	-8.92352714861876	9	-7.500936010062991	4	-8.06337618937436
31784	group3	2	-9.153102006314185	0	-10.434045327281881	2	-9.532097636968262	11	-8.985598125842793	10	-7.850534025962996
21091	group3	3	-8.586012678696378	4	-8.634407667009766	2	-8.781026694359959	20	-7.513070463858816	6	-7.893136809368515
19271	group3	6	-8.884952632317809	56	-5.814777731668383	3	-8.030510769799752	0	-9.707422089903467	5	-7.991128363517144
13279	group3	4	-8.618994409843987	1	-8.766160994713294	2	-9.512465437304042	8	-7.419791338637064	26	-6.563376189374359
15166	group2	3	-9.11116407130518	64	-5.320183068663702	1	-8.550330777079592	0	-9.33167521314582	28	-6.350534025962996
23559	group2	2	-9.100379034464998	3	-9.667838669261924	3	-9.077253425949644	5	-8.74864909382396	1	-9.515889566308614
21183	group3	3	-8.906719304505858	87	-5.749071396609343	6	-8.115186348353129	17	-7.530296396712847	30	-6.393136809368515
30655	group3	8	-8.794974176395872	6	-9.194329610213142	0	-inf	21	-7.379799741018796	6	-8.054496631772288
19502	group3	1	-8.900850139936615	0	-9.476014704065905	3	-8.758105826199735	7	-7.519674527847834	1	-9.381042002080704
23084	group1	7	-8.940495677096271	0	-9.91456764450739	1	-8.661891800068469	17	-7.4163471297869386	10	-7.999506673559884
14644	group3	1	-9.335331143144515	1	-9.456144890795834	2	-8.67841835970214	3	-8.373638739515064	7	-8.015889566308614
17364	group3	0	-8.81121810683954	31	-6.422106851914931	5	-8.875456646637083	8	-7.421339771724584	24	-6.491128363517144
16032	group3	1	-8.939089364504282	34	-5.999995119264202	0	-inf	6	-7.684087586679856	10	-7.881042002080704
14521	group3	6	-8.43525804604404	5	-8.999817056724652	0	-inf	10	-7.496245251348943	0	-9.594735744468831
9966	group3	2	-8.400541060049246	0	-9.690546258757674	0	-9.697881751320338	5	-7.496407194858414	13	-6.554496631772287
17689	group2	4	-8.907421791258027	0	-9.687834711539496	3	-8.304168546127595	4	-8.725547712659795	0	-9.500929236272864
15271	group3	0	-9.187642475045058	48	-5.728823713925485	0	-inf	3	-9.082861006279511	7	-8.094735744468831
16935	group2	0	-9.319365203727111	44	-6.156754098496704	2	-9.685334506276009	13	-7.577873992455694	23	-6.499506673559884
15044	group1	2	-8.788252822967944	4	-9.53723538144699	3	-8.880718403797049	4	-8.761046430382521	3	-8.000929236272864
13940	group3	2	-8.96132996582572	1	-9.283251834961714	0	-inf	2	-9.343139571553868	3	-8.015160141771387
15185	group3	1	-9.171926837785538	65	-5.614494130965294	4	-8.692961456122953	2	-8.847024065108934	30	-6.515889566308614
10749	group2	0	-8.978201571582877	9	-6.934045327281882	1	-9.418956136351147	0	-9.404238088527439	3	-9.515160141771387
15230	group3	1	-9.310000421974065	3	-8.860810384864067	0	-8.927468392948237	15	-7.482058928564282	9	-8.007846222627778
15283	group3	2	-8.65098398296389	99	-5.134407667009766	5	-8.41605885684918	2	-9.002808030188973	10	-7.962617351215264
15319	group2	1	-9.223564282393	66	-5.266160994713293	3	-9.012052235035615	1	-9.039211391576448	26	-6.381042002080704
12918	group3	4	-8.38774614759725	0	-9.81733965258968	1	-9.444328708926475	0	-8.759374015911192	24	-6.594735744468832
17270	group3	8	-8.7982541791046	44	-6.167838669261924	0	-inf	0	-9.090889190138542	1	-9.507846222627778
17405	group3	4	-8.703210738381467	63	-5.694329610213141	0	-inf	5	-7.645553432719557	0	-9.462617351215265
18933	group1	2	-9.54745592287052	44	-5.976014704065906	0	-inf	17	-7.444381477704958	7	-7.970350986343625
11308	group2	1	-8.915308783470666	20	-6.41456764450739	2	-10.457868875896356	4	-7.449022114546163	21	-6.500929236272864
13712	group1	5	-8.629721774451863	2	-9.245801878658284	1	-9.485920251286304	0	-8.639399223056389	7	-7.799772713863763
14437	group1	0	-9.476850300903967	45	-5.9561448907958345	1	-9.295539369242938	8	-7.469955445705177	2	-8.013031340941644
15933	group1	5	-9.13310925300181	56	-5.499817056724653	0	-inf	7	-7.2523415838550145	30	-6.5151601417713865
16375	group2	1	-8.98369272665332	1	-9.391941996868159	0	-inf	11	-7.464765660345192	21	-6.507846222627779
12619	group2	0	-9.686558660123378	1	-10.429306193061748	1	-9.258208683894237	0	-9.059023583543501	4	-7.765770155982667
16803	group3	0	-8.842420303978853	30	-6.190546258757675	0	-9.479998090113607	3	-8.749041389360816	27	-6.462617351215264
24295	group3	2	-8.576919676207483	1	-9.709658241076344	5	-8.811352382943399	15	-7.493252899944933	6	-8.045877953174994
14750	group3	2	-9.429757970415993	37	-6.187834711539497	2	-9.287354210246352	5	-8.764019315173753	1	-9.470350986343625
15864	group3	2	-8.824727010667946	30	-6.03723538144699	3	-9.054727166940305	9	-7.573226469976923	6	-8.071659712591732
17634	group3	2	-9.656141705618715	50	-5.783251834961715	0	-inf	2	-7.470285878971999	3	-7.984889271687072
11721	group2	1	-9.019347754633026	42	-5.360810384864066	2	-8.660464200087247	2	-9.552262760039566	14	-6.470350986343625
11727	group3	1	-9.807886177351648	0	-9.566164449218372	1	-9.427718584329941	5	-7.596177680110225	18	-6.299772713863763
13794	group3	1	-8.439291145882168	27	-6.317339652589681	0	-9.150103037259775	1	-8.988735754046827	20	-6.513031340941645
14805	group3	2	-8.795549731031587	1	-9.519785119846803	0	-7.92092532897154	9	-7.37281813826741	26	-6.265770155982667
15741	group3	0	-9.01230847793789	43	-5.745801878658284	1	-8.56285713869474	0	-8.989221584575242	16	-6.545877953174995
14470	group3	2	-9.38758080958458	43	-5.891941996868159	1	-9.646768315960893	4	-7.564764453297448	18	-6.571659712591732
18280	group3	5	-8.363122034920611	0	-9.33699828330651	4	-9.039870469092786	7	-7.48415304630284	32	-6.484889271687072
17811	group1	5	-8.016449125372633	0	-10.520161524364358	5	-8.717757240852702	14	-7.300991698366747	30	-6.446684229147597
20191	group1	1	-9.928990932223376	0	-9.476872238429152	3	-8.383264477773421	9	-7.3835812439341355	5	-7.946684229147597
12867	group2	6	-8.38191798477359	1	-9.838837788664021	1	-8.925506802659505	1	-9.233621977367081	0	-9.299772713863764
18426	group3	3	-8.186174623425547	1	-10.21971951336931	0	-inf	1	-8.946176785692845	3	-9.513031340941644
17754	group3	0	-8.830994151712762	22	-6.929306193061748	3	-9.265291072177552	6	-7.475733984143284	4	-9.265770155982667
16585	group3	0	-9.599634016167593	5	-9.237851784994826	2	-9.365263321846665	1	-9.43666029815867	10	-7.959558139032995
15041	group2	1	-8.56832734122799	2	-9.132360211967399	0	-8.677469007508046	8	-7.362007990295021	23	-6.459558139032995
20789	group2	0	-9.090460151039075	3	-9.826625133896018	4	-8.843469812987946	8	-7.5054558705452905	2	-9.545877953174994
16188	group3	2	-9.301960313896629	1	-9.07877185921433	0	-inf	7	-7.4204766050706965	9	-7.806205492491806
14601	group3	1	-9.61502906783348	0	-9.690758240882543	0	-9.258323962399075	0	-8.833144433114873	34	-6.306205492491806
19490	group3	5	-8.724731252011892	1	-9.466755495426927	0	-inf	2	-8.84706634363849	1	-9.571659712591732
17782	group3	3	-8.603596567040325	1	-10.049369473498029	0	-9.094535833217856	12	-7.498091003809201	1	-9.484889271687072
16983	group3	1	-9.311765364839896	32	-6.209658241076345	1	-9.208099007565075	12	-7.590543813673446	1	-9.446684229147596
18822	group2	5	-8.739711831463314	41	-6.0661644492183715	3	-8.637671170880274	4	-8.909866337115531	1	-9.459558139032994
24053	group2	1	-9.572170694811572	48	-6.019785119846802	0	-inf	7	-8.257024751565044	38	-6.329098553176207
17966	group2	7	-8.599069484064328	6	-8.707756471802162	3	-9.344980338656933	11	-7.456972866874154	3	-9.306205492491806
16491	group2	0	-8.976716350787926	0	-10.829724728191744	3	-8.756792762365693	3	-8.894296981035575	1	-9.329098553176207
18001	group2	1	-9.093284885953674	69	-5.836998283306509	0	-inf	1	-8.9797586998348	21	-6.425833940281837
12850	group2	1	-9.050872936264573	1	-9.545726311445328	1	-8.574240524757645	5	-7.4065349936953115	19	-6.550450438870483
21830	group3	4	-8.565556921497066	20	-7.020161524364358	2	-8.756875336945845	1	-9.219679409930771	11	-7.829098553176207
12790	group1	3	-8.624794180067497	0	-9.152440197476505	1	-9.417119925335893	11	-7.534610187222524	11	-6.5150921519460665
23020	group1	2	-8.735267337823645	52	-5.976872238429151	7	-8.327503771688882	8	-7.609712188354981	1	-9.425833940281837
16249	group3	1	-8.931149395001308	23	-6.338837788664021	0	-inf	10	-7.552819606914773	31	-6.287990297311732
23298	group3	5	-8.961089436043647	23	-6.719719513369309	1	-9.339106339670575	2	-8.910857636915996	8	-7.925833940281837
9690	group3	1	-8.690809869000738	0	-10.516733273061307	2	-8.786782462779962	1	-9.288533040330673	4	-8.050450438870483
16601	group3	0	-8.883752720410632	1	-9.594734632356191	3	-9.376667396798736	5	-7.737977527398701	29	-6.46681188157235
30647	group2	6	-8.658724296567758	118	-5.737851784994826	3	-9.872055125320546	18	-7.560768369149111	13	-8.015092151946066
17907	group3	5	-9.15505838675903	1	-9.53860933267648	2	-8.88712486687709	4	-8.618454414802228	24	-6.696615970006961
18100	group2	0	-10.21741888205357	1	-9.08764849728151	2	-8.856482417652588	1	-9.194293359892345	2	-9.550450438870483
8176	group2	1	-8.480587699070293	0	-8.875893539701483	0	-inf	5	-7.607529009030373	2	-7.787990297311732
18053	group3	7	-7.906510176512871	59	-5.6323602119673986	4	-9.03872048027997	12	-7.297759493340774	3	-7.96681188157235
17073	group3	0	-8.77931777821571	2	-9.70194613466897	0	-inf	2	-8.95245913890852	1	-8.196615970006961
18055	group2	2	-9.05007761664175	1	-10.192259333267932	0	-inf	9	-7.55648752968129	1	-9.515092151946066
13144	group3	1	-9.068222371948016	2	-8.816382288036438	0	-inf	3	-7.6542929050592665	1	-9.287990297311733
17252	group3	7	-9.059527093887406	4	-8.891057183471855	6	-8.861965751378579	7	-7.412915822106688	7	-8.103434784807227
16118	group1	0	-8.991295295849998	29	-6.326625133896018	1	-9.324205444153241	4	-8.402975095100242	6	-8.086626984984711
11321	group2	0	-9.561009364373444	0	-9.73100267407669	1	-9.36873241872938	1	-8.650743731802406	10	-6.603434784807227
18334	group2	1	-9.258547228960113	63	-5.57877185921433	0	-inf	1	-8.927201952429852	6	-7.827169284443649
17447	group3	1	-9.498513413825131	2	-9.324555752956126	0	-inf	11	-7.5175210526848755	4	-8.016074597723621
14863	group2	5	-8.875600419306116	35	-6.190758240882543	1	-9.084045049310957	0	-8.586023970885062	7	-7.66098398394196
23214	group3	0	-9.148320576185432	4	-9.309066882936651	5	-8.045361595366717	0	-9.016367611635872	6	-7.901507079460936
13227	group3	3	-8.752394338011019	43	-5.966755495426928	0	-8.592592729374337	8	-7.4951396993310615	15	-6.586626984984711
13341	group3	1	-9.08735157987125	17	-6.549369473498028	0	-inf	9	-7.481135379676482	28	-6.327169284443649
17436	group2	0	-8.506832406089378	0	-9.216862279278772	0	-inf	13	-7.479068651152538	8	-7.981278976200471
12040	group3	3	-8.893233049332279	0	-9.397896010542944	1	-9.259995877048782	14	-7.537444491650628	2	-9.46681188157235
15344	group2	5	-7.9046501355151335	3	-8.796651879169314	1	-8.72064339757629	2	-8.76142981521209	5	-8.065355587854274
19739	group3	1	-9.948180461445546	0	-10.368979752192285	0	-inf	3	-8.994273011427602	36	-6.516074597723622
14636	group2	1	-9.323458344127454	105	-5.207756471802162	0	-inf	8	-7.4045301402749075	38	-6.16098398394196
27040	group3	3	-8.549256554175644	13	-7.329724728191744	3	-9.239182330221604	16	-7.447675233748955	38	-6.401507079460936
16533	group3	5	-7.7358371465968006	1	-8.979588023304636	3	-9.228630393569153	12	-7.549581851993645	0	-9.696615970006961
13063	group2	3	-9.12431738885773	1	-9.3097640148925	4	-8.570357995867662	3	-7.517146460961869	5	-7.854173103548124
34147	group3	6	-8.978165503410805	2	-9.60856763437244	4	-9.262632322577817	25	-7.594436859941031	14	-8.03610667133961
15072	group3	1	-9.113157121256803	31	-6.045726311445329	3	-9.837817317092298	2	-9.27163144102034	4	-8.123618518012568
13408	group1	4	-8.334271443706204	56	-5.652440197476504	0	-inf	1	-8.870918600622462	8	-7.914780092340367
13194	group1	0	-9.14365393173801	6	-7.016733273061307	1	-9.453247350287164	4	-8.719604981085935	4	-7.998086252494075
15054	group2	4	-8.659965080060948	29	-6.09473463235619	0	-inf	0	-9.103830561667573	4	-7.821640891126318
17439	group3	1	-9.159900799449336	42	-6.0386093326764785	1	-8.955792396898998	3	-9.329136565064946	2	-9.603434784807227
17050	group3	0	-9.636279377622998	3	-8.913234250752524	0	-inf	6	-9.15845882074432	0	-9.586626984984711
10343	group2	1	-8.843226139768284	0	-10.67180159549998	0	-inf	2	-9.713932582196103	1	-8.011038997812326
13626	group3	0	-8.748407593282337	58	-5.587648497281509	1	-8.93599608944195	1	-9.182305107447332	1	-9.327169284443649
16654	group3	3	-8.353387058733869	67	-5.375893539701483	0	-inf	9	-7.471913532458188	3	-8.428953194993383
18619	group3	3	-9.055223513208658	2	-8.919239254629613	3	-8.37919174092073	9	-7.426175288870246	7	-7.881595039373003
19135	group3	2	-9.30868103185618	36	-6.20194613466897	0	-inf	2	-9.32258702709112	8	-8.28166113259209
11318	group3	3	-8.718619451690486	1	-9.306960976198203	1	-9.358012898758709	11	-7.434924676897792	19	-6.481278976200471
10210	group3	1	-8.879631453881133	13	-6.692259333267932	2	-8.634267132089947	5	-7.43852593704261	4	-7.769186578188645
31777	group3	3	-8.859667461438681	2	-10.066566636838491	6	-8.787016625075108	23	-7.512656859467426	13	-7.72679528921239
17286	group3	2	-9.036556351873639	3	-9.283453722671654	3	-9.07450688610775	11	-7.342112575292615	3	-8.064054707885722
14153	group3	5	-8.419830715003116	86	-5.316382288036438	2	-8.582078048909013	2	-7.520718167718621	15	-6.565355587854273
12859	group2	3	-8.815253641812138	2	-9.652043219400658	2	-8.7539405485431	2	-8.393278480022321	3	-8.174705286517309
13803	group3	3	-8.047670645829509	64	-5.391057183471855	0	-inf	10	-7.496993291826122	4	-8.209561103700239
17654	group3	2	-8.444471650719748	6	-8.207352565967724	2	-9.431154243468438	1	-9.169462589043869	3	-7.869101806812226
13655	group2	3	-8.670475101949895	3	-8.582333638567588	0	-inf	2	-9.462878715177801	1	-8.030317726643071
14067	group3	0	-9.81371917030813	1	-9.279655063792445	1	-8.464158035108603	8	-7.533617983963529	33	-6.354173103548124
20871	group3	1	-8.698840359852186	43	-6.231002674076691	0	-9.610450959948066	4	-8.738747466320067	9	-8.089753990013321
10861	group3	1	-8.78985889817647	31	-5.824555752956127	3	-8.970192283454836	9	-7.491873622904999	4	-8.036512955186938
17040	group2	1	-8.594524163598223	66	-5.809066882936651	0	-inf	8	-7.524052417744038	1	-9.516074597723621
18556	group3	3	-8.477778952646371	71	-5.7168622792787716	4	-8.998777919005382	3	-9.052563158054626	0	-9.160983983941959
16697	group3	1	-9.200439095894463	55	-5.897896010542944	1	-8.787682139570071	2	-8.985419097993184	10	-7.686722796860343
16680	group3	4	-8.587997190774797	73	-5.296651879169315	0	-9.362716740199255	1	-8.943406139029445	1	-9.401507079460936
9492	group3	1	-9.281152715509545	0	-9.859626920713339	2	-9.017471692776045	5	-7.296782067444355	2	-9.481278976200471
16727	group3	4	-8.022560962495483	1	-9.791707297289504	3	-9.070310013507958	2	-8.937205953457614	4	-9.565355587854274
22678	group3	2	-9.665975833258624	2	-9.662524814190894	2	-8.501455816453173	3	-9.112333474951884	3	-9.354173103548124
17079	group3	3	-9.880344280199392	26	-6.868979752192284	2	-9.397957346611696	4	-8.713590420824723	4	-7.947962100936838
28736	group3	0	-9.82536063291205	129	-5.479588023304635	3	-8.963627235424283	8	-8.843025701246864	6	-7.888140957495132
14981	group3	3	-9.445277792081525	38	-5.8097640148925	0	-9.13062024233601	3	-9.148745555980936	20	-6.536106671339611
13120	group3	2	-9.559557699279864	32	-6.10856763437244	0	-9.649023318834741	1	-9.051439382885606	2	-7.883463861331548
10332	group3	5	-8.02196054814818	47	-5.413234250752524	6	-7.661943766173156	4	-7.457415328694726	1	-9.53610667133961
18986	group2	3	-9.163249749039093	17	-7.171801595499981	1	-9.03560951358028	1	-9.283310579823095	24	-6.623618518012568
20837	group3	0	-9.671337894688717	77	-5.4192392546296135	0	-9.74332903546038	7	-7.668296488885835	40	-6.414780092340367
11676	group2	3	-8.442808511610105	0	-9.780117253118899	4	-8.29568652057552	3	-7.5433886379230515	7	-7.847236830021808
10346	group3	0	-9.293261969410796	1	-9.95112303403525	0	-inf	0	-8.915740597374564	6	-7.840797284196893
15409	group3	0	-9.618426688270699	0	-9.795486137734724	3	-9.535292749576252	12	-7.641622753023582	5	-8.106569967049396
13551	group1	3	-8.562080536175351	44	-5.806960976198202	3	-8.81456501398487	5	-8.778525866610737	1	-9.623618518012568
20627	group3	4	-8.688318911710983	30	-6.566566636838491	6	-8.568583952518617	7	-7.412010100423179	7	-8.032278170363545
18779	group3	1	-9.217478341477614	0	-9.638089746125369	1	-9.32421601138803	12	-7.362540676762722	27	-6.498086252494075
12472	group3	6	-8.296229999879385	34	-5.783453722671655	3	-9.215445027692802	10	-7.545104290941194	25	-6.321640891126318
14964	group3	4	-8.935449210144638	30	-6.152043219400658	1	-9.270135131895277	11	-7.438646737188734	3	-9.414780092340367
13936	group3	3	-8.19152520057135	113	-4.707352565967725	3	-9.064680504875527	10	-7.52101565629594	0	-9.498086252494076
21235	group2	4	-8.748629559000047	2	-9.758441946866293	1	-9.811230585234808	13	-7.459194183427166	31	-6.511038997812326
